GameID,GameDist,CumulativeDist
31266-24,948.82,27979.46
31266-25,1370.9,29350.36
31266-26,1149.32,30499.68
31266-27,1267.47,31767.15
31266-28,827.72,32594.87
31266-29,823.4200000000001,33418.29
31266-30,881.1,34299.39
31933-1,1131.69,1131.69
31933-2,1886.44,3018.13
31933-3,2348.14,5366.27
31933-4,1019.29,6385.5599999999995
31933-5,1745.34,8130.9
31933-6,1118.4,9249.3
31933-7,2253.15,11502.45
31933-8,1896.3,13398.75
31933-9,2413.32,15812.07
31933-10,2714.4,18526.47
31933-11,2096.66,20623.13
31933-12,2391.4900000000002,23014.62
31933-13,1928.71,24943.33
31933-14,1788.06,26731.39
31933-15,2565.05,29296.44
31933-16,1998.7,31295.14
31933-17,2332.39,33627.53
31933-18,981.36,34608.89
31933-19,1258.67,35867.56
31933-20,1009.45,36877.01
31933-21,1333.0,38210.01
31933-22,1149.9,39359.91
31933-23,1139.76,40499.67
31933-24,1414.05,41913.72
31933-25,1148.57,43062.29
31933-26,1249.3799999999999,44311.67
31933-27,945.02,45256.69
31933-28,877.0600000000001,46133.75
31933-29,2400.26,48534.01
31933-30,1201.09,49735.1
32103-1,2610.6,2610.6
32103-2,2527.26,5137.860000000001
32103-3,2672.98,7810.84
32103-4,1298.43,9109.27
32103-5,1876.2,10985.470000000001
32103-6,2173.54,13159.01
32103-7,1586.13,14745.14
32103-8,1532.99,16278.130000000001
32103-9,3283.54,19561.67
32103-10,1840.49,21402.16
32103-11,2036.07,23438.23
32103-12,2037.68,25475.91
32103-13,2581.61,28057.52
32103-14,1998.1100000000001,30055.63
32103-15,2420.17,32475.8
32103-16,1674.05,34149.85
32103-17,1425.76,35575.61
33337-1,2376.06,2376.06
33337-2,882.3100000000001,3258.37
33337-3,1026.94,4285.3099999999995
33337-4,1860.25,6145.5599999999995
33337-5,2026.94,8172.5
33337-6,1793.93,9966.43
33337-7,2102.76,12069.19
33337-8,583.98,12653.17
33337-9,2293.52,14946.69
33337-10,2289.42,17236.11
33337-11,2130.2400000000002,19366.350000000002
33337-12,1946.37,21312.72
33337-13,1471.7,22784.420000000002
33337-14,2084.28,24868.7
33337-15,2170.52,27039.22
33337-16,577.22,27616.440000000002
33474-1,1986.8600000000001,1986.8600000000001
33474-2,2943.4500000000003,4930.31
33474-3,2484.12,7414.43
33474-4,938.99,8353.42
33474-5,2798.69,11152.11
33474-6,1865.45,13017.560000000001
33474-7,1615.68,14633.240000000002
33474-8,1073.53,15706.77
33474-9,2025.84,17732.61
33474-10,1590.8500000000001,19323.46
33474-11,1713.84,21037.3
33474-12,3091.28,24128.58
33474-13,2015.84,26144.420000000002
33474-14,3580.63,29725.050000000003
33474-15,3065.13,32790.18
33474-16,1474.99,34265.17
33474-17,2645.32,36910.490000000005
33474-18,3716.2200000000003,40626.71
33474-19,414.81,41041.520000000004
33474-20,1409.77,42451.29
33474-21,2487.28,44938.57
33474-22,3094.64,48033.21
33474-23,2331.38,50364.590000000004
33474-24,4378.18,54742.770000000004
33474-25,3299.95,58042.72
33474-26,2888.47,60931.19
33474-27,1952.56,62883.75
34214-1,2481.73,2481.73
34214-2,2786.92,5268.65
34214-3,1721.78,6990.43
34214-4,1979.85,8970.28
34214-5,2179.02,11149.3
34214-6,1981.15,13130.45
34214-7,2690.99,15821.44
34214-8,2827.7000000000003,18649.14
34214-9,2157.07,20806.21
34214-10,1892.06,22698.27
34214-11,180.3,22878.57
34214-12,1619.65,24498.22
34214-13,1889.46,26387.68
34214-14,2822.36,29210.04
34214-15,544.16,29754.2
34214-16,2955.98,32710.18
34214-17,1559.01,34269.19
34214-18,1774.6,36043.79
34214-19,1074.1200000000001,37117.91
34214-20,2604.23,39722.14
34214-21,2615.84,42337.98
34214-22,1442.65,43780.630000000005
34214-23,1905.15,45685.78
34230-1,3578.61,3578.61
34230-2,301.75,3880.36
34230-3,3459.42,7339.780000000001
34230-4,2145.16,9484.94
34230-5,2466.57,11951.51
34230-6,2817.1,14768.61
34230-7,2870.43,17639.04
34230-8,2227.28,19866.32
34230-9,2588.84,22455.16
34230-10,2645.31,25100.47
34230-11,2394.95,27495.42
34230-12,2652.35,30147.77
34230-13,3056.59,33204.36
34230-14,2521.59,35725.95
34230-15,1040.18,36766.13
34230-16,3228.4900000000002,39994.62
34230-17,2489.03,42483.65
34230-18,2198.32,44681.97
34230-19,3733.5099999999998,48415.48
34230-20,1962.74,50378.22
34230-21,2718.03,53096.25
34230-22,2340.88,55437.130000000005
34230-23,1773.22,57210.35
34230-24,1662.2,58872.55
34230-25,2225.27,61097.82
34230-26,2967.81,64065.630000000005
34230-27,2666.17,66731.8
34230-28,2636.91,69368.71
34230-29,2393.04,71761.75
34230-30,2530.42,74292.17
34243-1,1838.75,1838.75
34243-2,1782.76,3621.51
34243-3,2127.11,5748.62
34243-4,1966.69,7715.3099999999995
34243-5,2752.4700000000003,10467.78
34243-6,2764.86,13232.64
34243-7,2396.27,15628.91
34243-8,2339.11,17968.02
34243-9,2267.11,20235.13
34243-10,2561.55,22796.68
34243-11,1806.32,24603.0
34243-12,2594.19,27197.190000000002
34243-13,1789.72,28986.91
34243-14,1250.29,30237.2
34243-15,1207.58,31444.78
34243-16,1869.93,33314.71
34243-17,2323.15,35637.86
34243-18,1923.5800000000002,37561.44
34243-19,1737.09,39298.53
34243-20,2196.96,41495.49
34243-21,2876.13,44371.62
34243-22,1564.83,45936.45
34243-23,2453.96,48390.41
34243-24,2603.25,50993.66
34243-25,2036.88,53030.54
34243-26,1648.27,54678.81
34259-1,30.11,30.11
34259-2,23.28,53.39
34259-3,378.55,431.94
34259-4,107.21000000000001,539.15
34259-5,680.02,1219.17
34259-6,1283.91,2503.08
34259-7,596.85,3099.93
34259-8,1463.3700000000001,4563.3
34259-9,1463.56,6026.860000000001
34259-10,1212.74,7239.6
34259-11,1502.34,8741.94
34259-12,1223.24,9965.18
34259-13,1412.53,11377.71
34259-14,32.1,11409.81
34259-15,120.09,11529.9
34259-16,52.45,11582.35
34259-17,112.01,11694.36
34259-18,114.43,11808.79
34259-19,400.36,12209.15
34259-20,1733.46,13942.61
34259-21,58.190000000000005,14000.8
34347-1,820.4,820.4
34347-2,1103.67,1924.0700000000002
34347-3,979.87,2903.94
34347-4,1521.53,4425.47
34347-5,658.41,5083.88
34347-6,1161.01,6244.89
34347-7,1129.8,7374.6900000000005
34347-8,1057.94,8432.630000000001
34347-9,1053.94,9486.57
34347-10,1406.97,10893.54
34347-11,1167.87,12061.41
34347-12,1144.56,13205.970000000001
34347-13,1451.72,14657.69
34347-14,1602.7,16260.39
34347-15,1276.57,17536.96
34347-16,1751.7,19288.66
34347-17,1377.14,20665.8
34347-18,1581.04,22246.84
34347-19,1404.85,23651.69
34347-20,1250.94,24902.63
34347-21,1209.34,26111.97
34347-22,1133.79,27245.760000000002
34347-23,840.07,28085.83
34347-24,1384.78,29470.61
34347-25,1230.03,30700.64
35570-1,18.86,18.86
35570-2,696.09,714.95
35570-3,1162.78,1877.73
35570-4,1176.18,3053.91
35570-5,720.27,3774.1800000000003
35570-6,583.83,4358.01
35570-7,757.14,5115.15
35570-8,1730.69,6845.84
35570-9,1105.58,7951.42
35570-10,1325.01,9276.43
35570-11,1602.3700000000001,10878.8
35570-12,1274.69,12153.49
35570-13,1166.3,13319.79
35570-14,849.09,14168.880000000001
35570-15,948.2,15117.08
35570-16,1211.4,16328.48
35570-17,2181.68,18510.16
35570-18,1477.69,19987.85
35570-19,1564.72,21552.57
35570-20,1297.84,22850.41
35570-21,1110.97,23961.38
35570-22,66.71000000000001,24028.09
35570-23,11.85,24039.94
35570-24,552.37,24592.31
35577-1,1904.07,1904.07
35577-2,1206.15,3110.2200000000003
35577-3,2117.11,5227.33
35577-4,1658.08,6885.41
35577-5,1403.44,8288.85
35577-6,1968.81,10257.66
35577-7,1833.63,12091.29
35577-8,2089.57,14180.86
35577-9,1819.3400000000001,16000.2
35577-10,1560.24,17560.44
35577-11,1515.0,19075.44
35577-12,2107.97,21183.41
35577-13,2098.46,23281.87
35577-14,1974.8,25256.67
35577-15,1928.0800000000002,27184.75
35577-16,1296.4,28481.15
35577-17,1277.57,29758.72
35577-18,1862.43,31621.15
35577-19,1267.57,32888.72
35577-20,1803.46,34692.18
35577-21,1340.7,36032.88
35577-22,1578.08,37610.96
35577-23,1150.9,38761.86
35577-24,1521.75,40283.61
35577-25,1269.89,41553.5
35577-26,1216.87,42770.37
35577-27,1340.52,44110.89
35577-28,1762.54,45873.43
35577-29,1632.58,47506.01
35611-1,1666.65,1666.65
35611-2,2461.46,4128.110000000001
35611-3,2099.04,6227.15
35611-4,1650.51,7877.66
35611-5,2646.13,10523.79
35611-6,2002.33,12526.119999999999
35611-7,1447.81,13973.93
35611-8,1562.64,15536.57
35611-9,2446.2,17982.77
35611-10,3005.9900000000002,20988.76
35611-11,2452.85,23441.61
35611-12,2652.4900000000002,26094.1
35611-13,2779.62,28873.72
35611-14,2266.43,31140.15
35611-15,2397.51,33537.66
35611-16,1527.97,35065.63
35611-17,1161.3600000000001,36226.99
35611-18,943.39,37170.38
35611-19,723.98,37894.36
35611-20,1291.35,39185.71
35611-21,976.1099999999999,40161.82
35617-1,2054.35,2054.35
35617-2,1092.7,3147.05
35617-3,1232.91,4379.96
35617-4,1124.57,5504.53
35617-5,2025.39,7529.92
35617-6,1970.41,9500.33
35617-7,1498.9,10999.23
35617-8,1751.06,12750.29
35617-9,1075.8700000000001,13826.16
35617-10,1776.46,15602.62
35617-11,1453.6200000000001,17056.24
35617-12,1420.51,18476.75
35617-13,1441.9,19918.65
35617-14,1373.09,21291.74
35617-15,1915.16,23206.9
35617-16,898.7,24105.600000000002
35617-17,1380.42,25486.02
35617-18,964.68,26450.7
35617-19,1190.41,27641.11
35617-20,1573.94,29215.05
35617-21,1938.39,31153.440000000002
35617-22,67.83,31221.27
35617-23,1587.66,32808.93
35617-24,1034.53,33843.46
35617-25,1511.33,35354.79
35617-26,1146.86,36501.65
35617-27,1938.82,38440.47
35617-28,368.31,38808.78
35617-29,1280.8899999999999,40089.67
35617-30,920.24,41009.91
35624-1,1082.91,1082.91
35648-1,2305.1,2305.1
35648-2,2478.1,4783.2
35648-3,2406.68,7189.879999999999
35648-4,2270.34,9460.22
35648-5,1523.57,10983.789999999999
35648-6,3626.18,14609.97
35648-7,234.04,14844.01
35648-8,2815.45,17659.46
35648-9,1731.04,19390.5
35648-10,2359.26,21749.76
35648-11,2156.26,23906.02
35648-12,2031.92,25937.94
35648-13,2014.25,27952.19
35648-14,2912.51,30864.7
35648-15,3390.32,34255.02
35648-16,3456.94,37711.96
35648-17,440.34,38152.3
36554-1,1365.63,1365.63
36554-2,1423.28,2788.91
36554-3,1475.16,4264.07
36554-4,1490.95,5755.02
36554-5,1274.32,7029.34
36554-6,1086.54,8115.88
36554-7,1634.26,9750.14
36554-8,1731.3500000000001,11481.49
36554-9,1368.72,12850.210000000001
36554-10,1379.97,14230.18
36554-11,1573.63,15803.810000000001
36554-12,1406.88,17210.690000000002
36554-13,1725.15,18935.84
36554-14,1562.48,20498.32
36554-15,1577.48,22075.8
36554-16,1308.04,23383.84
36554-17,1546.27,24930.11
36554-18,771.79,25701.9
36554-19,1400.67,27102.57
36554-20,2116.26,29218.83
36554-21,1472.8,30691.63
36554-22,1544.58,32236.21
36554-23,1344.6000000000001,33580.81
36554-24,1328.09,34908.9
36554-25,1529.3,36438.2
36554-26,1723.59,38161.79
36554-27,2304.84,40466.630000000005
36554-28,1483.77,41950.4
36554-29,1479.38,43429.78
36554-30,1842.75,45272.53
36554-31,1064.1,46336.630000000005
36554-32,1450.7,47787.33
36555-1,1668.06,1668.06
36555-2,1282.5,2950.56
36555-3,1931.81,4882.37
36555-4,1801.08,6683.45
36555-5,1880.95,8564.4
36555-6,2000.56,10564.96
36555-7,1947.45,12512.41
36555-8,1740.1,14252.51
36555-9,1548.8,15801.31
36555-10,1759.33,17560.64
36555-11,1663.58,19224.22
36555-12,1831.99,21056.21
36555-13,436.55,21492.76
36555-14,1221.3,22714.059999999998
36555-15,1679.66,24393.72
36555-16,1780.48,26174.2
36555-17,2143.9900000000002,28318.19
36555-18,1790.28,30108.47
36555-19,1345.88,31454.35
36555-20,981.8,32436.15
36555-21,1133.35,33569.5
36555-22,1329.3400000000001,34898.84
36555-23,1375.23,36274.07
36555-24,1551.51,37825.58
36555-25,1856.17,39681.75
36555-26,1490.5,41172.25
36555-27,1559.67,42731.92
36555-28,1370.42,44102.34
36555-29,1906.6200000000001,46008.96
36557-1,2626.06,2626.06
36557-2,1526.49,4152.55
36557-3,2556.78,6709.33
36559-1,3107.98,3107.98
36559-2,2601.9900000000002,5709.97
36559-3,2416.33,8126.3
36559-4,2567.81,10694.11
36559-5,2326.11,13020.220000000001
36559-6,2500.45,15520.67
36559-7,2314.53,17835.2
36559-8,2820.0,20655.2
36559-9,462.44,21117.64
36559-10,2606.02,23723.66
36559-11,2855.46,26579.12
36559-12,3167.19,29746.31
36559-13,3415.7400000000002,33162.05
36559-14,3020.86,36182.91
36559-15,3266.42,39449.33
36559-16,3405.9,42855.23
36559-17,3207.16,46062.39
36559-18,2859.06,48921.45
36559-19,2325.44,51246.89
36559-20,3340.76,54587.65
36559-21,2859.14,57446.79
36559-22,2909.98,60356.770000000004
36559-23,2560.57,62917.340000000004
36559-24,2848.28,65765.62
36559-25,3320.37,69085.99
36559-26,2647.84,71733.83
36572-1,1905.42,1905.42
36572-2,2559.93,4465.35
36572-3,2483.03,6948.38
36572-4,1130.74,8079.12
36572-5,3377.79,11456.91
36572-6,2532.16,13989.07
36572-7,2800.9900000000002,16790.06
36572-8,2921.34,19711.4
36572-9,2601.4,22312.8
36572-10,2243.63,24556.43
36572-11,2389.31,26945.74
36572-12,2301.68,29247.42
36572-13,2634.4,31881.82
36572-14,1940.22,33822.04
36572-15,2345.07,36167.11
36572-16,2322.0,38489.11
36572-17,2984.6,41473.71
36572-18,2253.32,43727.03
36572-19,2635.0,46362.03
36572-20,3031.2400000000002,49393.270000000004
36572-21,2577.75,51971.020000000004
36572-22,2836.91,54807.93
36572-23,2345.75,57153.68
36572-24,3065.92,60219.6
36572-25,2999.06,63218.66
36572-26,3433.78,66652.44
36572-27,2368.74,69021.18000000001
36572-28,2597.98,71619.16
36572-29,2584.35,74203.51
36572-30,2830.76,77034.27
36572-31,509.34999999999997,77543.62
36572-32,1894.28,79437.9
36573-1,2267.33,2267.33
36573-2,2081.18,4348.51
36573-3,2782.23,7130.74
36573-4,1533.03,8663.77
36573-5,2578.79,11242.56
36573-6,1392.97,12635.529999999999
36573-7,2240.05,14875.58
36573-8,2985.65,17861.23
36573-9,1861.04,19722.27
36573-10,2383.21,22105.48
36573-11,1439.0,23544.48
36573-12,2048.18,25592.66
36573-13,2871.16,28463.82
36573-14,1544.82,30008.64
36573-15,604.44,30613.079999999998
36573-16,950.91,31563.989999999998
36573-17,941.75,32505.739999999998
36573-18,826.6,33332.34
36573-19,1811.83,35144.17
36573-20,1098.2,36242.37
36573-21,681.73,36924.1
36573-22,1343.15,38267.25
36573-23,984.16,39251.409999999996
36573-24,1479.27,40730.68
36573-25,837.66,41568.34
36573-26,689.17,42257.51
36573-27,1481.86,43739.37
36579-1,3482.9900000000002,3482.9900000000002
36579-2,2932.78,6415.77
36579-3,3018.33,9434.1
36579-4,2597.85,12031.95
36579-5,2983.42,15015.37
36579-6,3245.89,18261.260000000002
36579-7,2614.09,20875.35
36579-8,2869.83,23745.18
36579-9,2325.7,26070.88
36579-10,3262.38,29333.260000000002
36579-11,2797.29,32130.55
36579-12,2506.18,34636.73
36579-13,2989.21,37625.94
36579-14,2973.05,40598.99
36579-15,3819.89,44418.88
36579-16,2144.89,46563.77
36579-17,3558.58,50122.35
36579-18,3384.87,53507.22
36579-19,3087.16,56594.38
36579-20,3074.86,59669.24
36579-21,3874.33,63543.57
36579-22,3160.0299999999997,66703.6
36579-23,3835.45,70539.05
36579-24,3005.73,73544.78
36579-25,3541.61,77086.39
36579-26,2726.68,79813.06999999999
36579-27,2671.29,82484.36
36579-28,3444.19,85928.55
36579-29,2487.36,88415.91
36579-30,2455.67,90871.58
36579-31,3209.44,94081.02
36579-32,1396.46,95477.48
36591-1,1729.77,1729.77
36591-2,1549.44,3279.21
36591-3,2021.99,5301.2
36591-4,2558.64,7859.84
36591-5,1646.89,9506.73
36591-6,1700.69,11207.42
36591-7,1433.68,12641.1
36591-8,1417.72,14058.82
36591-9,252.93,14311.75
36607-1,2414.14,2414.14
36607-2,2816.48,5230.62
36607-3,3022.86,8253.48
36607-4,1975.16,10228.64
36607-5,2795.39,13024.029999999999
36607-6,1953.79,14977.82
36607-7,242.70000000000002,15220.52
36607-8,1983.35,17203.87
36607-9,2688.29,19892.16
36607-10,2180.78,22072.94
36607-11,2164.76,24237.7
36607-12,1822.5,26060.2
36607-13,1989.57,28049.77
36607-14,1342.7,29392.47
36607-15,1734.1,31126.57
36607-16,767.2,31893.77
36607-17,278.44,32172.21
36607-18,732.82,32905.03
36621-1,2248.9700000000003,2248.9700000000003
36621-2,1956.03,4205.0
36621-3,2322.43,6527.43
36621-4,2315.02,8842.45
36621-5,1490.49,10332.94
36621-6,2286.6,12619.54
36621-7,1521.01,14140.55
36621-8,1939.6,16080.15
36621-9,2416.04,18496.19
36621-10,1836.6200000000001,20332.81
36621-11,2496.37,22829.18
36621-12,2229.11,25058.29
36621-13,2245.04,27303.329999999998
36621-14,2146.29,29449.62
36621-15,1012.78,30462.399999999998
36621-16,2164.16,32626.559999999998
36621-17,490.12,33116.68
36621-18,2092.31,35208.99
36621-19,1448.28,36657.27
36621-20,1663.51,38320.78
36621-21,2195.58,40516.36
36621-22,1913.03,42429.39
36621-23,2106.57,44535.96
36621-24,2163.22,46699.18
36621-25,1793.03,48492.21
36630-1,2639.62,2639.62
36630-2,2702.84,5342.46
36630-3,2815.02,8157.48
36630-4,2756.54,10914.02
36630-5,3167.41,14081.43
36630-6,2342.04,16423.47
36630-7,2223.61,18647.08
36630-8,1961.8600000000001,20608.94
36630-9,3064.07,23673.010000000002
36630-10,1660.84,25333.85
36630-11,1977.44,27311.29
36630-12,3071.77,30383.06
36630-13,2728.4700000000003,33111.53
36630-14,2178.81,35290.340000000004
36630-15,2963.2,38253.54
36630-16,3413.7400000000002,41667.28
36630-17,397.98,42065.26
36630-18,1252.35,43317.61
36630-19,2492.05,45809.66
36630-20,2081.21,47890.87
36630-21,2590.16,50481.03
36630-22,1451.04,51932.07
36643-1,2088.29,2088.29
36643-2,2646.65,4734.9400000000005
36643-3,2301.36,7036.3
36643-4,2958.1,9994.4
36643-5,2077.97,12072.369999999999
36643-6,2164.66,14237.029999999999
36643-7,1895.58,16132.61
36643-8,2187.89,18320.5
36643-9,1660.14,19980.64
36643-10,2456.93,22437.57
36643-11,2219.55,24657.12
36643-12,2385.52,27042.64
36643-13,2387.76,29430.4
36643-14,2688.32,32118.72
36643-15,2647.04,34765.76
36656-1,829.09,829.09
36656-2,262.35,1091.44
36656-3,690.78,1782.22
36656-4,23.240000000000002,1805.46
36656-5,171.01999999999998,1976.48
36656-6,497.4,2473.88
36656-7,624.31,3098.19
36656-8,81.76,3179.95
36656-9,408.74,3588.69
36656-10,534.27,4122.96
36656-11,1226.53,5349.49
36656-12,3032.81,8382.3
36656-13,3819.2200000000003,12201.52
36656-14,2430.87,14632.39
36656-15,552.11,15184.5
36672-1,994.93,994.93
36672-2,1211.82,2206.75
36672-3,1477.41,3684.16
36672-4,1079.3600000000001,4763.52
36672-5,1320.03,6083.55
36672-6,989.31,7072.86
36672-7,1335.95,8408.81
36672-8,1175.33,9584.14
36672-9,2088.88,11673.02
36672-10,1138.03,12811.05
36672-11,914.02,13725.07
36672-12,1313.94,15039.01
36672-13,430.46000000000004,15469.47
36672-14,804.79,16274.26
36672-15,1044.3400000000001,17318.6
36672-16,1332.58,18651.18
36672-17,1579.06,20230.24
36672-18,1705.1200000000001,21935.36
36672-19,930.27,22865.63
36672-20,1019.9300000000001,23885.56
36672-21,1091.41,24976.97
36672-22,1305.39,26282.36
36672-23,1879.69,28162.05
36672-24,1593.79,29755.84
36672-25,1170.56,30926.4
36672-26,1276.71,32203.11
36672-27,1469.24,33672.35
36672-28,1439.43,35111.78
36672-29,1076.27,36188.05
36672-30,1194.97,37383.020000000004
36672-31,1213.11,38596.13
36672-32,1234.57,39830.7
36696-1,1446.84,1446.84
36696-2,1241.21,2688.05
36696-3,1407.72,4095.77
36696-4,1341.72,5437.49
36696-5,1705.57,7143.0599999999995
36696-6,184.82999999999998,7327.89
36696-7,1208.17,8536.06
36696-8,1670.41,10206.47
36696-9,1582.8300000000002,11789.3
36696-10,1769.01,13558.31
36696-11,1659.71,15218.02
36696-12,1473.49,16691.510000000002
36696-13,1984.1299999999999,18675.64
36696-14,1488.8200000000002,20164.46
36696-15,1531.8700000000001,21696.33
36696-16,1365.19,23061.52
36696-17,1390.26,24451.78
36696-18,1180.39,25632.170000000002
36696-19,1936.05,27568.22
36696-20,1524.67,29092.89
36696-21,2058.03,31150.920000000002
36696-22,1391.64,32542.56
36696-23,994.21,33536.770000000004
36696-24,1491.71,35028.48
36696-25,2118.09,37146.57
36696-26,2625.48,39772.05
36696-27,1557.42,41329.47
36696-28,2011.55,43341.020000000004
36757-1,1447.17,1447.17
36757-2,943.79,2390.96
36757-3,1363.05,3754.01
36757-4,1582.5,5336.51
36757-5,1579.43,6915.9400000000005
36757-6,1851.48,8767.42
36757-7,1168.44,9935.86
36757-8,1319.83,11255.69
36757-9,23.21,11278.9
36757-10,1206.01,12484.91
36757-11,862.72,13347.630000000001
36757-12,1133.32,14480.95
36757-13,1494.1200000000001,15975.07
36757-14,1770.6000000000001,17745.670000000002
36757-15,1171.67,18917.34
36757-16,1101.22,20018.56
36757-17,803.83,20822.39
36757-18,909.88,21732.27
36757-19,1020.2,22752.47
36757-20,1074.68,23827.15
36757-21,1013.11,24840.260000000002
36757-22,937.95,25778.21
36757-23,932.9300000000001,26711.14
36803-1,2898.59,2898.59
36803-2,2250.6,5149.1900000000005
36803-3,2721.52,7870.71
36803-4,2631.91,10502.619999999999
36803-5,2971.85,13474.47
36803-6,2290.21,15764.68
36803-7,3075.65,18840.33
36803-8,2758.35,21598.68
36803-9,2021.0700000000002,23619.75
36803-10,2733.1,26352.85
36803-11,3033.5,29386.35
36803-12,2951.98,32338.33
36803-13,1966.88,34305.21
36803-14,2667.8,36973.01
36877-1,2202.79,2202.79
36877-2,2494.56,4697.35
36877-3,1574.18,6271.53
36877-4,1997.75,8269.28
36877-5,2120.96,10390.24
36877-6,2517.07,12907.31
36877-7,2589.73,15497.04
36877-8,2797.55,18294.59
36877-9,2185.27,20479.86
36877-10,1915.8600000000001,22395.72
36877-11,2483.52,24879.24
36877-12,2971.11,27850.35
36877-13,1760.03,29610.38
36877-14,2027.99,31638.37
36877-15,2953.9,34592.270000000004
36877-16,1091.63,35683.9
36877-17,2670.33,38354.23
36877-18,2759.7200000000003,41113.95
36877-19,2686.9700000000003,43800.92
36877-20,3505.8,47306.72
36877-21,2399.69,49706.41
36877-22,3038.05,52744.46
36877-23,380.22,53124.68
36877-24,2995.26,56119.94
